user_id,application_id,label_default,segment
user_000001,app_000001,0,MEDIUM_RISK
user_000002,app_000002,0,HIGH_RISK
user_000003,app_000003,1,HIGH_INCOME_HIGH_DEBT
user_000004,app_000004,1,MEDIUM_RISK
user_000005,app_000005,0,LOW_RISK
user_000006,app_000006,0,LOW_RISK
user_000007,app_000007,0,LOW_RISK
user_000008,app_000008,0,LOW_RISK
user_000009,app_000009,0,MEDIUM_RISK
user_000010,app_000010,0,LOW_RISK
user_000011,app_000011,0,UNSTABLE_INCOME
user_000012,app_000012,0,MEDIUM_RISK
user_000013,app_000013,0,LOW_RISK
user_000014,app_000014,0,RECENT_DELINQUENCY
user_000015,app_000015,0,LOW_RISK
user_000016,app_000016,0,LOW_RISK
user_000017,app_000017,0,LOW_RISK
user_000018,app_000018,0,RECENT_DELINQUENCY
user_000019,app_000019,1,HIGH_INCOME_HIGH_DEBT
user_000020,app_000020,1,HIGH_RISK
user_000021,app_000021,0,LOW_RISK
user_000022,app_000022,0,MEDIUM_RISK
user_000023,app_000023,0,RECENT_DELINQUENCY
user_000024,app_000024,0,HIGH_INCOME_HIGH_DEBT
user_000025,app_000025,0,LOW_RISK
user_000026,app_000026,0,LOW_RISK
user_000027,app_000027,0,LOW_RISK
user_000028,app_000028,0,MEDIUM_RISK
user_000029,app_000029,1,UNSTABLE_INCOME
user_000030,app_000030,1,RECENT_DELINQUENCY
user_000031,app_000031,1,HIGH_RISK
user_000032,app_000032,0,LOW_RISK
user_000033,app_000033,1,RECENT_DELINQUENCY
user_000034,app_000034,0,LOW_RISK
user_000035,app_000035,0,MEDIUM_RISK
user_000036,app_000036,0,LOW_RISK
user_000037,app_000037,0,LOW_RISK
user_000038,app_000038,1,LOW_RISK
user_000039,app_000039,1,HIGH_INCOME_HIGH_DEBT
user_000040,app_000040,0,LOW_RISK
user_000041,app_000041,0,LOW_RISK
user_000042,app_000042,0,LOW_RISK
user_000043,app_000043,0,RECENT_DELINQUENCY
user_000044,app_000044,0,HIGH_RISK
user_000045,app_000045,0,MEDIUM_RISK
user_000046,app_000046,1,HIGH_RISK
user_000047,app_000047,0,MEDIUM_RISK
user_000048,app_000048,0,HIGH_INCOME_HIGH_DEBT
user_000049,app_000049,0,MEDIUM_RISK
user_000050,app_000050,0,LOW_RISK
user_000051,app_000051,0,LOW_RISK
user_000052,app_000052,1,RECENT_DELINQUENCY
user_000053,app_000053,0,LOW_RISK
user_000054,app_000054,0,LOW_RISK
user_000055,app_000055,0,THIN_FILE
user_000056,app_000056,0,HIGH_INCOME_HIGH_DEBT
user_000057,app_000057,1,RECENT_DELINQUENCY
user_000058,app_000058,0,LOW_RISK
user_000059,app_000059,0,UNSTABLE_INCOME
user_000060,app_000060,0,MEDIUM_RISK
user_000061,app_000061,1,HIGH_RISK
user_000062,app_000062,0,LOW_RISK
user_000063,app_000063,1,MEDIUM_RISK
user_000064,app_000064,0,MEDIUM_RISK
user_000065,app_000065,0,HIGH_INCOME_HIGH_DEBT
user_000066,app_000066,1,HIGH_RISK
user_000067,app_000067,0,LOW_RISK
user_000068,app_000068,0,HIGH_RISK
user_000069,app_000069,0,THIN_FILE
user_000070,app_000070,0,LOW_RISK
user_000071,app_000071,0,LOW_RISK
user_000072,app_000072,1,HIGH_RISK
user_000073,app_000073,0,MEDIUM_RISK
user_000074,app_000074,0,THIN_FILE
user_000075,app_000075,0,MEDIUM_RISK
user_000076,app_000076,0,MEDIUM_RISK
user_000077,app_000077,0,LOW_RISK
user_000078,app_000078,1,UNSTABLE_INCOME
user_000079,app_000079,1,HIGH_RISK
user_000080,app_000080,0,LOW_RISK
user_000081,app_000081,0,LOW_RISK
user_000082,app_000082,0,HIGH_RISK
user_000083,app_000083,0,THIN_FILE
user_000084,app_000084,0,LOW_RISK
user_000085,app_000085,1,HIGH_RISK
user_000086,app_000086,0,LOW_RISK
user_000087,app_000087,0,MEDIUM_RISK
user_000088,app_000088,1,MEDIUM_RISK
user_000089,app_000089,0,MEDIUM_RISK
user_000090,app_000090,1,RECENT_DELINQUENCY
user_000091,app_000091,0,HIGH_INCOME_HIGH_DEBT
user_000092,app_000092,0,MEDIUM_RISK
user_000093,app_000093,1,HIGH_INCOME_HIGH_DEBT
user_000094,app_000094,0,HIGH_INCOME_HIGH_DEBT
user_000095,app_000095,0,MEDIUM_RISK
user_000096,app_000096,0,MEDIUM_RISK
user_000097,app_000097,0,UNSTABLE_INCOME
user_000098,app_000098,0,MEDIUM_RISK
user_000099,app_000099,0,HIGH_INCOME_HIGH_DEBT
user_000100,app_000100,0,MEDIUM_RISK
user_000101,app_000101,1,RECENT_DELINQUENCY
user_000102,app_000102,0,RECENT_DELINQUENCY
user_000103,app_000103,0,UNSTABLE_INCOME
user_000104,app_000104,1,RECENT_DELINQUENCY
user_000105,app_000105,1,MEDIUM_RISK
user_000106,app_000106,0,MEDIUM_RISK
user_000107,app_000107,0,LOW_RISK
user_000108,app_000108,0,LOW_RISK
user_000109,app_000109,0,LOW_RISK
user_000110,app_000110,0,THIN_FILE
user_000111,app_000111,0,THIN_FILE
user_000112,app_000112,0,MEDIUM_RISK
user_000113,app_000113,1,HIGH_INCOME_HIGH_DEBT
user_000114,app_000114,0,HIGH_INCOME_HIGH_DEBT
user_000115,app_000115,0,LOW_RISK
user_000116,app_000116,0,MEDIUM_RISK
user_000117,app_000117,0,HIGH_RISK
user_000118,app_000118,0,UNSTABLE_INCOME
user_000119,app_000119,0,LOW_RISK
user_000120,app_000120,1,HIGH_INCOME_HIGH_DEBT
user_000121,app_000121,0,LOW_RISK
user_000122,app_000122,0,THIN_FILE
user_000123,app_000123,0,MEDIUM_RISK
user_000124,app_000124,1,MEDIUM_RISK
user_000125,app_000125,0,MEDIUM_RISK
user_000126,app_000126,0,LOW_RISK
user_000127,app_000127,0,LOW_RISK
user_000128,app_000128,0,MEDIUM_RISK
user_000129,app_000129,0,MEDIUM_RISK
user_000130,app_000130,0,MEDIUM_RISK
user_000131,app_000131,0,UNSTABLE_INCOME
user_000132,app_000132,0,HIGH_INCOME_HIGH_DEBT
user_000133,app_000133,0,HIGH_RISK
user_000134,app_000134,0,THIN_FILE
user_000135,app_000135,0,MEDIUM_RISK
user_000136,app_000136,0,THIN_FILE
user_000137,app_000137,0,RECENT_DELINQUENCY
user_000138,app_000138,0,LOW_RISK
user_000139,app_000139,0,MEDIUM_RISK
user_000140,app_000140,0,HIGH_RISK
user_000141,app_000141,1,HIGH_RISK
user_000142,app_000142,0,LOW_RISK
user_000143,app_000143,0,MEDIUM_RISK
user_000144,app_000144,0,THIN_FILE
user_000145,app_000145,0,THIN_FILE
user_000146,app_000146,0,HIGH_INCOME_HIGH_DEBT
user_000147,app_000147,0,MEDIUM_RISK
user_000148,app_000148,0,MEDIUM_RISK
user_000149,app_000149,0,UNSTABLE_INCOME
user_000150,app_000150,0,HIGH_RISK
